fz,contract_regnum,contract_name,simple_product,eis_url,sign_date,sign_year,price,currency,region_name,foundation,customer_full_name,customer_inn,supplier_full_name,supplier_inn,no_of_products,product_name,product_sum_total_rur,product_code
44,2770500260224000201,"Поставка иммунохромотографических тест-контейнеров для одновременного выявления 10 видов наркотических соединений (Амфетамин (АМР), Кокаин (СOC), Марихуана (THC), Бензодиазепины (BZO), Фенциклидин (PCP), Барбитураты (BAR), Метамфетамин (MET), Опиаты (OPI), Метадон (MTD), Катиноны (MDPV))",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2770500260224000201,2024-07-12,2024,36144000,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""",7705002602,"НАРКОЛАБ, ООО",9717028246,1,Препараты диагностические (реагенты) микробного и вирусного происхождения; наборы диагностические,,21.10.60.196
44,2.7705E+18,"Поставка иммунохромотографических тест-контейнеров для одновременного выявления 10 видов наркотических соединений (Амфетамин (АМР), Кокаин (СOC), Марихуана (THC), Бензодиазепины (BZO), Фенциклидин (PCP), Барбитураты (BAR), Метамфетамин (MET), Опиаты (OPI), Метадон (MTD), Катиноны (MDPV))",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2770500260223000177,2023-06-05,2023,36139500,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""",7705002602,"ОЕМ-СЕРВИС, ООО",7724853060,1,Препараты диагностические (реагенты) микробного и вирусного происхождения; наборы диагностические,36139500,21.10.60.196
44,2772335638624000044,Аукцион в электронной форме на право заключения контракта на поставку тест-полосок или тест-контейнеров или тест-кассет или планшетов индикаторных для анализаторов видеоцифровых для фотофиксации и анализа иммунохроматографических тестов для нужд ГБУЗ «МНПЦ наркологии ДЗМ»,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2772335638624000044,2024-01-29,2024,3.40E+07,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР НАРКОЛОГИИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",7723356386,"НАРКОЛАБ, ООО",9717028246,2,Реагенты диагностические,,21.20.23.110
44,2770500260222000184,"Поставка иммунохромотографических тест-контейнеров для одновременного выявления 10 видов наркотических соединений (Амфетамин (АМР), Кокаин (СOC), Марихуана (THC), Бензодиазепины (BZO), Фенциклидин (PCP), Барбитураты (BAR), Метамфетамин (MET), Опиаты (OPI), Метадон (MTD), Катиноны (MDPV))",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2770500260222000184,2022-07-20,2022,30180000,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""",7705002602,"ТРАСТМЕД, ООО",9717069700,1,Препараты диагностические (реагенты) микробного и вирусного происхождения; наборы диагностические,30180000,21.10.60.196
44,2772335638624000298,Аукцион в электронной форме на право заключения контракта на поставку тест-полосок или тест-контейнеров или тест-кассет или планшетов индикаторных для анализаторов видеоцифровых для фотофиксации и анализа иммунохроматографических тестов для нужд ГБУЗ «МНПЦ наркологии ДЗМ»,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2772335638624000298,2024-06-11,2024,18912950,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР НАРКОЛОГИИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",7723356386,"НАРКОЛАБ, ООО",9717028246,1,Реагенты диагностические,,21.20.23.110
44,2631401030724000173,"Поставка реагентов и расходных материалов для лаборатории Государственного бюджетного учреждения здравоохранения ""Самарский областной клинический наркологический диспансер""",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2631401030724000173,2024-11-11,2024,17494400,RUB,Самарская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6314010307,"ХАРДИ, ООО",5047300489,1,Реагенты диагностические,,21.20.23.110
44,2590201712123000153,Поставка изделий медицинского назначения (Экспресс-тесты для выявления 13 видов наркотических веществ в моче),Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2590201712123000153,2023-10-10,2023,13915620,RUB,Пермский край,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ПЕРМСКИЙ КРАЕВОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",5902017121,"НАРКОЛАБ, ООО",9717028246,1,Реагенты диагностические,,21.20.23.110
44,2.4347E+18,Поставка реагентов диагностических,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2434702326622000071,2022-08-29,2022,13797000,RUB,Кировская область,Электронный аукцион,"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КИРОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",4347023266,"ОЕМ-СЕРВИС, ООО",7724853060,1,,13797000,
44,2.61641E+18,"Закупка множественных наркотиков ИВД, наборы, иммунохроматографического анализа, экспресс-анализа для нужд ГБУ РО НД в 2023 году.",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2616410404923000058,2023-10-03,2023,13500000,RUB,Ростовская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6164104049,"ОЕМ-СЕРВИС, ООО",7724853060,1,Аппараты электродиагностические прочие,,26.60.12.119
44,2.9204E+18,"на поставку газового хроматографа ИВД, автоматического",Анализатор,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2920402328122000636,2022-12-05,2022,1.25E+07,RUB,Севастополь,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СЕВАСТОПОЛЯ ""МЕДИЦИНСКИЙ СКЛАД № 1043""",9204023281,"ОЕМ-СЕРВИС, ООО",7724853060,1,Аппараты электродиагностические прочие,12504679.67,26.60.12.119
